ID,Epica,Modulo,Caso,Pasos principales,Resultado esperado,Prioridad
CP-001,,Catálogo,Validar carga de la página principal,Ingresar a la URL principal,La home carga sin errores visibles,
CP-002,,Catálogo,Validar visualización del catálogo,Revisar sección de productos,"Se muestran tarjetas con imagen, nombre, precio y botón",
CP-003,,Búsqueda,Buscar producto existente,Ingresar un producto existente en el buscador,Se muestran productos coincidentes,
CP-004,,Búsqueda,Buscar producto inexistente,Ingresar texto sin coincidencias,Se muestra mensaje de sin resultados,
CP-005,,Filtros,Filtrar categoría Notebooks,Seleccionar categoría Notebooks,Solo se muestran notebooks,
CP-006,,Filtros,Filtrar categoría Monitores,Seleccionar categoría Monitores,Solo se muestran monitores,
CP-007,,Filtros,Filtrar categoría Periféricos,Seleccionar categoría Periféricos,Solo se muestran periféricos,
CP-008,,Filtros,Filtrar categoría Accesorios,Seleccionar categoría Accesorios,Solo se muestran accesorios,
CP-009,,Detalle,Acceder al detalle de producto,Abrir un producto desde una card,Se muestra la página de detalle,
CP-010,,Detalle,Validar información en detalle,"Revisar nombre, precio, descripción e imagen",La información coincide con el producto seleccionado,
CP-011,,Carrito,Agregar producto al carrito desde home,Presionar Agregar al carrito desde home,El producto se agrega al carrito,
CP-012,,Carrito,Agregar producto al carrito desde detalle,Presionar Agregar al carrito desde detalle,El producto se agrega al carrito,
CP-013,,Carrito,Aumentar cantidad,Usar control de aumento,La cantidad y total se actualizan,
CP-014,,Carrito,Disminuir cantidad,Usar control de disminución,La cantidad y total se actualizan,
CP-015,,Carrito,Eliminar producto,Presionar eliminar en un producto del carrito,El producto se elimina,
CP-016,,Carrito,Vaciar carrito,Presionar vaciar carrito,El carrito queda vacío,
CP-017,,Persistencia,Persistencia con LocalStorage,Agregar producto y recargar página,El carrito conserva los datos,
CP-018,,Admin,Login administrador correcto,Ingresar credenciales válidas,Accede al panel administrador,
CP-019,,Admin,Login administrador incorrecto,Ingresar credenciales inválidas,No permite el acceso,
CP-020,,Admin,Crear producto,Completar formulario de alta,El producto aparece en catálogo,
CP-021,,Admin,Editar producto,Modificar producto existente,Los cambios se reflejan,
CP-022,,Admin,Eliminar producto,Eliminar producto desde admin,El producto deja de mostrarse,
CP-023,,Imágenes,Validar imagen alternativa,Simular imagen inválida,Se muestra imagen fallback,
CP-024,,Navegación,Validar navegación entre páginas,Usar menú y botones principales,La navegación funciona correctamente,
CP-025,,Admin,Restaurar catálogo,Presionar restaurar catálogo,El catálogo vuelve al estado inicial,
CP-026,,Responsive,Probar ancho mobile,Abrir en vista móvil,El diseño se adapta correctamente,
